category,title,icon,url,cid,desc,style,remark
Coming-Soon,Ruposhi_Bangla,ruposhi_bangla,https://cdn-4.pishow.tv/live/1039/1039_2.m3u8,-,-,-,https://app24.jagobd.com.bd/c3VydmVyX8RpbEU9Mi8xNy8yMFDDEHGcfRgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcEdsEfeDeKiNkVN3PTOmdFsaWRtaW51aiPhnPTI2/ruposhibangla.stream/playlist.m3u8
Entertainment,Colors Bangla,colors_bangla,http://stvlive.net:8080/colorsbangla/index.m3u8,-,-,-,http://stream247.live:8080/colorsbangla/index.m3u8
Fun_Carton,Carton,carton_cn,https://vodzong.mjunoon.tv:8087/streamtest/cartoon-network-87/playlist.m3u8,-,-,-,-
Fun_Carton,Kids Creation ,kids_ctv,https://flc2.technohaat.com/kidscreation_test/tracks-v1a1/mono.m3u8,-,-,-,-
Coming-Soon,DurontoTv,duronto_tv,http://103.122.74.6:8888/hls/DURANTA.TV.HD.m3u8,-,-,-,-
Media,Deshi Tv,deshi_tv,https://app24.jagobd.com.bd/c3VydmVyX8RpbEU9Mi8xNy8yMFDDEHGcfRgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcEdsEfeDeKiNkVN3PTOmdFsaWRtaW51aiPhnPTI2/deshitv.stream/playlist.m3u8,-,-,-,https://deshitv.deshitv24.net/live/myStream/playlist.m3u8
Coming-Soon,AnimalHD,animal_planet,http://udigitalott.ridsys.in/riptv/live/stream90/index.m3u8,-,-,-,-
Media,BTV,btv,https://app24.jagobd.com.bd/c3VydmVyX8RpbEU9Mi8xNy8yMFDDEHGcfRgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcEdsEfeDeKiNkVN3PTOmdFsaWRtaW51aiPhnPTI2/btvnational1.stream/playlist.m3u8,-,-,https://www.btvlive.gov.bd/channel/BTV,https://owrcovcrpy.gpcdn.net/bpk-tv/1709/output/index.m3u8
Music,YRP,yrp_music,https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg01412-xiaomiasia-yrfmusic-xiaomi/playlist.m3u8,-,-,-,-
News,BBC,bbc_bn,https://d2vnbkvjbims7j.cloudfront.net/containerA/LTN/playlist.m3u8?v=1,-,-,-,-
Coming-Soon,ZeeAction,zee_action,http://app.hughag.store/api/f3311c7bbe/playlist.m3u8,-,-,-,-
Coming-Soon,ZeeAnmol,zee_anmol,http://app.hughag.store/api/cf342d11fc/playlist.m3u8,-,-,-,https://live.drmlive-02.workers.dev/zee/0-9-zeeanmol.m3u8
Fun_Carton,Pogo TV,pogo_tv,https://amg01448-samsungin-pogo-samsungin-dzccl.amagi.tv/playlist/amg01448-samsungin-pogo-samsungin/playlist.m3u8,-,-,-,-
Sports,Redbull Tv,redbull_tv,https://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_3360.m3u8,-,-,-,-
Sports,Sports TV,sports,https://livesports24.netlify.app,-,🌏📡🚦Live-Telecast from Third-Party Website.,-,-
Coming-Soon,MOHONA TV,mohona_tv,https://app24.jagobd.com.bd/c3VydmVyX8RpbEU9Mi8xNy8yMFDDEHGcfRgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcEdsEfeDeKiNkVN3PTOmdFsaWRtaW51aiPhnPTI2/mohonatv.stream/playlist.m3u8,-,-,-,-
Music,Child & Talent,child_talent,https://5aafcc5de91f1.streamlock.net/atfal1.com/atfal2/playlist.m3u8,-,-,-,-
News,SA TV,sa_tv,https://app24.jagobd.com.bd/c3VydmVyX8RpbEU9Mi8xNy8yMFDDEHGcfRgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcEdsEfeDeKiNkVN3PTOmdFsaWRtaW51aiPhnPTI2/satvoff5666.stream/playlist.m3u8,UCMMCiB3he7fwFUvLBRMTaZQ,-,-,https://tvsen6.aynaott.com/satv/tracks-v1a1/mono.ts.m3u8
Media,ASIAN TV,asian_tv,https://app24.jagobd.com.bd/c3VydmVyX8RpbEU9Mi8xNy8yMFDDEHGcfRgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcEdsEfeDeKiNkVN3PTOmdFsaWRtaW51aiPhnPTI2/asian-test-sample-ok-d.stream/playlist.m3u8,-,🌏📡🚦Live-Telecast,-,https://www.asiantvonline.com/live
News,BIJOY TV,bijoy_tv,https://bijoy.tv/live-tv,UCDsQc2G_xjgTIIv5ZQ7571A,🌏📡🚦Live-Telecast from Official TV Channel Website.,-,-
Media,ATN BANGLA,atn_tv,https://owrcovcrpy.gpcdn.net/bpk-tv/1722/output/index.m3u8,-,-,-,-
Fun_Carton,KHUSHBOO BN,khushboo,https://cdn-4.pishow.tv/live/1473/master.m3u8,-,-,-,-
News,Zee 24,zee24,https://d2dsoyvkr33m05.cloudfront.net/index_5.m3u8,-,-,-,-
Sports,A SPORTS ,a_sports,http://125.209.88.166:45793/BRN/ArySports.stream/chunklist.m3u8,-,-,-,-
Music,SHEMAROO BN,shemaroo_tv,http://103.145.48.150:90/laosat24/shemarootv/index.m3u8,-,-,-,-
Music,Sangeet Bangla,sangeet_bangla,https://app24.jagobd.com.bd/c3VydmVyX8RpbEU9Mi8xNy8yMFDDEHGcfRgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcEdsEfeDeKiNkVN3PTOmdFsaWRtaW51aiPhnPTI2/sbin.stream/playlist.m3u8,-,-,-,https://www.youtube.com/@sangeetbangla/videos
Entertainment,STAR GOLD,star_gold,http://stvlive.net:8080/stargold2/tracks-v1a1/mono.m3u8,-,-,-,-
Media,A1 TV,a1tv,https://iptvbd.live/channela1/1080.m3u8,-,-,-,-
Media,CHANNEL S,stv,https://cdn149.anystream.uk:8082/g1/tvchsuk03/playlist.m3u8,-,-,-,-
Media,PROBASHI TV,probashi_tv,http://158.69.24.53:8080/probashi_tv/tracks-v1a1/mono.m3u8,-,-,-,-
Entertainment,DRONE🚁TV,drone,https://d35j504z0x2vu2.cloudfront.net/v1/master/0bc8e8376bd8417a1b6761138aa41c26c7309312/dronetv/440.m3u8,-,-,-,-
Entertainment,Movies Action,movies_action,https://shls-live-ak.akamaized.net/out/v1/46079e838e65490c8299f902a7731168/index.m3u8,-,-,-,-
Sports,WWE,wwe,https://dpv6ceilvhyrw.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-7ufe851j0vqbg/playlist.m3u8,-,-,-,-
Music,Big Magic,big_magic,https://live.drmlive-02.workers.dev/zee/0-9-bigmagic_1786965389.m3u8,-,-,-,-
Sports,CricLife,criclife,https://ddy6new.newkso.ru/ddy6/premium282/mono.m3u8,-,-,-,-
Music,Max Music,maxmusic,https://live.maxtn.in/maxmusic/maxmusic/index.m3u8,-,-,-,-
Entertainment,Max Movies,maxmovies,https://live.maxtn.in/maxmovies/maxmovies/index.m3u8,-,-,-,-
Entertainment,StarPlus,starplus,http://stvlive.net:8080/starplus/index.m3u8,-,-,-,-
Music,9XM,nine_xm,https://d35j504z0x2vu2.cloudfront.net/v1/manifest/0bc8e8376bd8417a1b6761138aa41c26c7309312/9xm/9f1a3d57-4134-4f4c-95ea-2cb142ac63f8/0.m3u8,-,-,-,-
Entertainment,Movies Now,moviesnow,http://103.175.242.10:8080/moviesnow/tracks-v1a1/mono.m3u8,-,-,-,http://103.175.242.10:8080/moviesnow/index.m3u8
Music,B4U,b4u,https://d3kdywbtdfbp9z.cloudfront.net/v1/manifest/93ce20f0f52760bf38be911ff4c91ed02aa2fd92/dff423e0-3c82-46d6-9ecb-3baa96b5694a/4598c408-0e38-488c-9b64-fc845d1ea2b6/0.m3u8,-,-,-,-
Fun_Carton,Carton Network ,carton_cn,http://103.175.242.10:8080/cartoonnetwork/index.m3u8,-,-,-,-
News,PAKHI TV,pakhi_tv,-,UCO_uhQ1EFB9bwqnV6i7UHnw,-,-,-
Media,VOKTA TV,vokta,https://103.121.61.218/tmp_hls/voktatv/index.m3u8,-,-,-,-
Entertainment,My Time,my_time,https://mytime-tcl.amagi.tv/playlist.m3u8,-,-,-,-
Fun_Carton,Disney JR,disney_jr,http://fl1.moveonjoy.com/DISNEY_JR/index.m3u8,-,-,-,-
Media,Deshe Bideshe,deshe_bideshe,https://app24.jagobd.com.bd/c3VydmVyX8RpbEU9Mi8xNy8yMFDDEHGcfRgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcEdsEfeDeKiNkVN3PTOmdFsaWRtaW51aiPhnPTI2/deshebideshe.stream/playlist.m3u8,-,-,-,-
Media,Millennium Tv,millennium_tv,https://app24.jagobd.com.bd/c3VydmVyX8RpbEU9Mi8xNy8yMFDDEHGcfRgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcEdsEfeDeKiNkVN3PTOmdFsaWRtaW51aiPhnPTI2/millenniumtv-odr-up2.stream/playlist.m3u8,-,-,-,-
Music,BalleBalle Tv,balleballetv,https://mcncdndigital.com/balleballetv/index.m3u8,-,-,-,-
Entertainment,Wow TV,wow_tv,http://cdn.elsalvadordigital.com:1935/wowtv/wowtv/playlist.m3u8,-,-,-,-
Fun_Carton,Gubbare TV,gubbare_tv,https://epiconvh.akamaized.net/live/gubbare/master.m3u8,-,-,-,-
Fun_Carton,SONY YAY,sony_yay,http://app.hughag.store/api/b45f637d05/playlist.m3u8,-,-,-,-
Sports,EuroSports,eurosports,http://app.hughag.store/api/ef22d71b0e/playlist.m3u8,-,-,-,-
Entertainment,Zing,zing,http://app.hughag.store/api/da99628d15/playlist.m3u8,-,-,-,-
Sports,SONY SPORTS 5,sonysports5,http://app.hughag.store/api/d74ec2f219/playlist.m3u8,-,-,-,-
Media,NAGORIK TV,nagoriktv,https://tvsen6.aynaott.com/nagoriktv/tracks-v1a1/mono.ts.m3u8,-,-,-,-
